Model,Price,Specs
2024 Corolla SE Upgrade,"$30,683","[{""label"":""Option"",""value"":""Midnight Black Metallic""}]"
2024 COROLLA CROSS LE FWD,"$31,743","[{""label"":""Option"",""value"":""Celestite""}]"
2024 Camry SE Upgrade,"$35,868","[{""label"":""Option"",""value"":""Supersonic Red""}]"
2024 RAV4 LE,"$35,203","[{""label"":""Option"",""value"":""LE""},{""label"":""Option"",""value"":""Midnight Black Metallic""}]"
2024 RAV4 LE,"$35,203","[{""label"":""Option"",""value"":""LE""},{""label"":""Option"",""value"":""White""}]"
2024 RAV4 LE,"$35,203","[{""label"":""Option"",""value"":""LE""},{""label"":""Option"",""value"":""Magnetic Grey Metallic""}]"
2023 Corolla Cross Hybrid SE,"$36,038","[{""label"":""Option"",""value"":""Jet Black Mica""}]"
2024 RAV4 XLE,"$38,903","[{""label"":""Option"",""value"":""XLE""},{""label"":""Option"",""value"":""White""}]"
