Model,Price,Exterior Color,Trim,Stock,Drivetrain,Transmission,Fuel Type
2019ToyotaC-HR,0,Silver (Gray),,THU15723,,,
2024ToyotaLand Cruiser,69290,Black,Trim1958,TH44083,4-Wheel drive,Auto,Hybrid
2024ToyotaTundra,72220,Magnetic Grey Metallic,TrimLimited,TH44058,4-Wheel drive,Auto,Gas
2024ToyotaCrown,51990,Magnetic Grey Metallic,TrimLimited,TH43894,All-Wheel drive,Auto,Hybrid
2024ToyotaRAV4,0,Midnight Black Metallic,TrimLimited,TH43780,All-Wheel drive,Auto,Gas
2024ToyotaRAV4,44750,Midnight Black Metallic,TrimLimited,TH43457,All-Wheel drive,Auto,Gas
2023ToyotaPrius,36650,Guardian Gray,TrimXLE,TH42418,All-Wheel drive,Auto,Hybrid
