Model,Price,Specs
"Toyota 
												2023 Corolla Cross 
												
												in Sydney","34,525","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2025 Camry Hybrid 
												
												in Sydney","37,950","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Prius Prime 
												
												in Sydney","44,290","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Venza Hybrid 
												
												in Sydney","49,045","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 GR Corolla 
												
												in Sydney","56,950","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 4Runner 
												
												in Sydney","60,840","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Crown 
												
												in Sydney","61,690","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Crown 
												
												in Sydney","62,540","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Tundra 
												
												in Sydney","67,650","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Tundra 
												
												in Sydney","67,905","[{""label"":""10 KM"",""value"":""10 KM""}]"
"Toyota 
												2024 Tundra 
												
												in Sydney","72,815","[{""label"":""10 KM"",""value"":""10 KM""}]"
