Model,Price,Specs
2024ToyotaRAV4,"40,550","[{""label"":""Colour"",""value"":""Midnight Black Metallic""},{""label"":""Trim"",""value"":""Trail""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TH43958""}]"
2024ToyotaRAV4,"44,750","[{""label"":""Colour"",""value"":""Blueprint""},{""label"":""Trim"",""value"":""Limited""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TH43957""}]"
2024ToyotaRAV4,"44,750","[{""label"":""Colour"",""value"":""Magnetic Grey Metallic""},{""label"":""Trim"",""value"":""Limited""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TH43916""}]"
2024ToyotaCrown,"51,990","[{""label"":""Colour"",""value"":""Magnetic Grey Metallic""},{""label"":""Trim"",""value"":""Limited""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Hybrid""},{""label"":""Stock #"",""value"":""#TH43894""}]"
2024ToyotaRAV4,,"[{""label"":""Colour"",""value"":""Midnight Black Metallic""},{""label"":""Trim"",""value"":""Limited""},{""label"":""Engine"",""value"":""2.5L I4""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TH43780""}]"
2024ToyotaRAV4,"44,750","[{""label"":""Colour"",""value"":""Midnight Black Metallic""},{""label"":""Trim"",""value"":""Limited""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Gas""},{""label"":""Stock #"",""value"":""#TH43457""}]"
2023ToyotaPrius,"36,650","[{""label"":""Colour"",""value"":""Guardian Gray""},{""label"":""Trim"",""value"":""XLE""},{""label"":""Transmission"",""value"":""Auto""},{""label"":""Drivetrain"",""value"":""All-Wheel drive""},{""label"":""Fuel Type"",""value"":""Hybrid""},{""label"":""Stock #"",""value"":""#TH42418""}]"
