Model,Price,Specs
2024 Toyota Tundra,"$75,879","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""F4001""},{""label"":""Transmission"",""value"":""Automatic""},{""label"":""Engine Type"",""value"":""6-cylinder""}]"
2024 Toyota Grand Highlander,"$53,019","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""G4004""},{""label"":""Transmission"",""value"":""Automatic""},{""label"":""Engine Type"",""value"":""Unsure""}]"
2024 Toyota RAV4,"$39,861","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""R4054""},{""label"":""Transmission"",""value"":""Automatic""},{""label"":""Engine Type"",""value"":""6-cylinder""}]"
2024 Toyota Highlander,"$52,179","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""H4002""},{""label"":""Transmission"",""value"":""Automatic""},{""label"":""Engine Type"",""value"":""4-cylinder""}]"
2024 Toyota RAV4,"$59,059","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""R4053""},{""label"":""Transmission"",""value"":""Variable / CVT""},{""label"":""Engine Type"",""value"":""4-cylinder""}]"
2024 Toyota Prius,"$42,264","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""P4002""},{""label"":""Transmission"",""value"":""Variable / CVT""},{""label"":""Engine Type"",""value"":""3-cylinder""}]"
2024 Toyota RAV4,"$35,679","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""R4057""},{""label"":""Transmission"",""value"":""Automatic""},{""label"":""Engine Type"",""value"":""Unsure""}]"
2024 Toyota Prius,"$46,504","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""P4001""},{""label"":""Transmission"",""value"":""Variable / CVT""},{""label"":""Engine Type"",""value"":""6-cylinder""}]"
2024 Toyota RAV4,"$35,679","[{""label"":""Finance From"",""value"":""Contact Us""},{""label"":""Stock #"",""value"":""R4047""},{""label"":""Transmission"",""value"":""Automatic""},{""label"":""Engine Type"",""value"":""6-cylinder""}]"
