2025 Corolla Hatchback XSE,Front Wheel Drive,Automatic,2L 4cyl.,$32,348,JTNK4MBE0P3000000,,Midnight Black Metallic
2024 RAV4 LE,All Wheel Drive,Automatic,2.5L 4cyl.,$35,203,2T3B1RFV0PC000000,,LE
2024 COROLLA CROSS XLE AWD,All Wheel Drive,Automatic,2L 4cyl.,$38,003,7MUDAABG0PV000000,,Jet Black Mica
2024 VENZA HYBRID XLE,All Wheel Drive,Automatic,2.5L 4cyl.,$51,098,JTEAAAAH0PJ000000,,Wind Chill Pearl
2024 Tacoma TRD Sport Premium,Four-Wheel Drive,Automatic,2.4L TURBO 4cyl.,$60,458,3TYLB5JN6RT028544,7847,Wind Chill Pearl
2024 Tundra LIMITED NIGHTSHADE,Four-Wheel Drive,Automatic,3.5L TURBO 6cyl.,$72,298,5TFWA5EC1RX000000,,Supersonic Red
2024 Tundra LIMITED TRD OFF ROAD,Four-Wheel Drive,Automatic,3.5L TURBO 6cyl.,$74,273,5TFJA5DB1RX000000,,Midnight Black Metallic
2024 TACOMA HYBRID TRD Pro,Four-Wheel Drive,Automatic,2.4L TURBO 4cyl.,$79,043,00000000000000000,,Terra with Black Roof
